raw_week_label,week_label,week_start,week_end,year,week_number,month_number,month_label,quarter_label,display_label
2021W18,2021W18,2021-04-25,2021-05-01,2021,18,4,Apr 2021,Q2,2021 Week 18
2021W19,2021W19,2021-05-02,2021-05-08,2021,19,5,May 2021,Q2,2021 Week 19
2021W20,2021W20,2021-05-09,2021-05-15,2021,20,5,May 2021,Q2,2021 Week 20
2021W21,2021W21,2021-05-16,2021-05-22,2021,21,5,May 2021,Q2,2021 Week 21
2021W22,2021W22,2021-05-23,2021-05-29,2021,22,5,May 2021,Q2,2021 Week 22
2021W23,2021W23,2021-05-30,2021-06-05,2021,23,5,May 2021,Q2,2021 Week 23
2021W24,2021W24,2021-06-06,2021-06-12,2021,24,6,Jun 2021,Q2,2021 Week 24
2021W25,2021W25,2021-06-13,2021-06-19,2021,25,6,Jun 2021,Q2,2021 Week 25
2021W26,2021W26,2021-06-20,2021-06-26,2021,26,6,Jun 2021,Q2,2021 Week 26
2021W27,2021W27,2021-06-27,2021-07-03,2021,27,6,Jun 2021,Q2,2021 Week 27
2021W28,2021W28,2021-07-04,2021-07-10,2021,28,7,Jul 2021,Q3,2021 Week 28
2021W29,2021W29,2021-07-11,2021-07-17,2021,29,7,Jul 2021,Q3,2021 Week 29
2021W30,2021W30,2021-07-18,2021-07-24,2021,30,7,Jul 2021,Q3,2021 Week 30
2021W31,2021W31,2021-07-25,2021-07-31,2021,31,7,Jul 2021,Q3,2021 Week 31
2021W32,2021W32,2021-08-01,2021-08-07,2021,32,8,Aug 2021,Q3,2021 Week 32
2021W33,2021W33,2021-08-08,2021-08-14,2021,33,8,Aug 2021,Q3,2021 Week 33
2021W34,2021W34,2021-08-15,2021-08-21,2021,34,8,Aug 2021,Q3,2021 Week 34
2021W35,2021W35,2021-08-22,2021-08-28,2021,35,8,Aug 2021,Q3,2021 Week 35
2021W36,2021W36,2021-08-29,2021-09-04,2021,36,8,Aug 2021,Q3,2021 Week 36
2021W37,2021W37,2021-09-05,2021-09-11,2021,37,9,Sep 2021,Q3,2021 Week 37
2021W38,2021W38,2021-09-12,2021-09-18,2021,38,9,Sep 2021,Q3,2021 Week 38
2021W39,2021W39,2021-09-19,2021-09-25,2021,39,9,Sep 2021,Q3,2021 Week 39
2021W40,2021W40,2021-09-26,2021-10-02,2021,40,9,Sep 2021,Q3,2021 Week 40
2021W41,2021W41,2021-10-03,2021-10-09,2021,41,10,Oct 2021,Q4,2021 Week 41
2021W42,2021W42,2021-10-10,2021-10-16,2021,42,10,Oct 2021,Q4,2021 Week 42
2021W43,2021W43,2021-10-17,2021-10-23,2021,43,10,Oct 2021,Q4,2021 Week 43
